image,survey_code,quadrat,presabs,val
pic_s01_2017_ne_q01.png,s01_2017_ne,q01,0,"sainfoin, black knapweed, phacelia, gold of pleasure"
pic_s01_2017_ne_q01.png,s01_2017_ne,q01,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, musk mallow"
pic_s01_2017_ne_q02.png,s01_2017_ne,q02,0,"sainfoin, black knapweed, gold of pleasure"
pic_s01_2017_ne_q02.png,s01_2017_ne,q02,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, musk mallow, phacelia"
pic_s01_2017_ne_q03.png,s01_2017_ne,q03,0,"sainfoin, black knapweed, musk mallow, gold of pleasure"
pic_s01_2017_ne_q03.png,s01_2017_ne,q03,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, phacelia"
pic_s01_2017_ne_q04.png,s01_2017_ne,q04,0,"black knapweed, musk mallow, phacelia, gold of pleasure"
pic_s01_2017_ne_q04.png,s01_2017_ne,q04,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil"
pic_s01_2017_ne_q05.png,s01_2017_ne,q05,0,"sainfoin, gold of pleasure"
pic_s01_2017_ne_q05.png,s01_2017_ne,q05,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, black knapweed, musk mallow, phacelia"
pic_s01_2017_ne_q06.png,s01_2017_ne,q06,0,"crimson clover, red clover, sainfoin, bird's-foot trefoil, black knapweed, gold of pleasure"
pic_s01_2017_ne_q06.png,s01_2017_ne,q06,1,"alsike clover, musk mallow, phacelia"
pic_s01_2017_ne_q07.png,s01_2017_ne,q07,0,"sainfoin, gold of pleasure"
pic_s01_2017_ne_q07.png,s01_2017_ne,q07,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, black knapweed, musk mallow, phacelia"
pic_s01_2017_ne_q08.png,s01_2017_ne,q08,0,"black knapweed, gold of pleasure"
pic_s01_2017_ne_q08.png,s01_2017_ne,q08,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil, musk mallow, phacelia"
pic_s01_2017_ne_q09.png,s01_2017_ne,q09,0,gold of pleasure
pic_s01_2017_ne_q09.png,s01_2017_ne,q09,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil, black knapweed, musk mallow, phacelia"
pic_s01_2017_ne_q10.png,s01_2017_ne,q10,0,"crimson clover, sainfoin, black knapweed, gold of pleasure"
pic_s01_2017_ne_q10.png,s01_2017_ne,q10,1,"alsike clover, red clover, bird's-foot trefoil, musk mallow, phacelia"
pic_s02_2017_ne_q01.png,s02_2017_ne,q01,0,"crimson clover, sweet clover, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q01.png,s02_2017_ne,q01,1,"alsike clover, red clover, white clover, sainfoin, lucerne, bird's-foot trefoil, black medick"
pic_s02_2017_ne_q02.png,s02_2017_ne,q02,0,"crimson clover, bird's-foot trefoil, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q02.png,s02_2017_ne,q02,1,"alsike clover, red clover, sweet clover, white clover, sainfoin, lucerne, black medick"
pic_s02_2017_ne_q03.png,s02_2017_ne,q03,0,"crimson clover, sweet clover, white clover, sainfoin, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q03.png,s02_2017_ne,q03,1,"alsike clover, red clover, lucerne, bird's-foot trefoil, black medick"
pic_s02_2017_ne_q04.png,s02_2017_ne,q04,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q04.png,s02_2017_ne,q04,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, black medick"
pic_s02_2017_ne_q05.png,s02_2017_ne,q05,0,"crimson clover, white clover, sainfoin, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q05.png,s02_2017_ne,q05,1,"alsike clover, red clover, sweet clover, lucerne, bird's-foot trefoil, black medick"
pic_s02_2017_ne_q06.png,s02_2017_ne,q06,0,"crimson clover, sweet clover, bird's-foot trefoil, black medick, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q06.png,s02_2017_ne,q06,1,"alsike clover, red clover, white clover, sainfoin, lucerne"
pic_s02_2017_ne_q07.png,s02_2017_ne,q07,0,"crimson clover, sweet clover, white clover, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, fenugreek, red campion"
pic_s02_2017_ne_q07.png,s02_2017_ne,q07,1,"alsike clover, red clover, sainfoin, phacelia"
pic_s02_2017_ne_q08.png,s02_2017_ne,q08,0,"crimson clover, sweet clover, white clover, sainfoin, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q08.png,s02_2017_ne,q08,1,"alsike clover, red clover, lucerne, bird's-foot trefoil, black medick"
pic_s02_2017_ne_q09.png,s02_2017_ne,q09,0,"crimson clover, sweet clover, white clover, sainfoin, lucerne, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q09.png,s02_2017_ne,q09,1,"alsike clover, red clover, bird's-foot trefoil, black medick, common vetch"
pic_s02_2017_ne_q10.png,s02_2017_ne,q10,0,"crimson clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, common vetch, black knapweed, fenugreek, red campion, phacelia"
pic_s02_2017_ne_q10.png,s02_2017_ne,q10,1,"alsike clover, red clover, white clover, black medick"
pic_s03_2017_ne_q01.png,s03_2017_ne,q01,0,"sweet clover, bird's-foot trefoil, common vetch, red campion, fenugreek"
pic_s03_2017_ne_q01.png,s03_2017_ne,q01,1,"alsike clover, crimson clover, red clover, white clover, sainfoin, lucerne, black medick, white campion, phacelia"
pic_s03_2017_ne_q02.png,s03_2017_ne,q02,0,"crimson clover, sweet clover, white clover, sainfoin, common vetch, red campion, white campion, fenugreek"
pic_s03_2017_ne_q02.png,s03_2017_ne,q02,1,"alsike clover, red clover, lucerne, bird's-foot trefoil, black medick, phacelia"
pic_s03_2017_ne_q03.png,s03_2017_ne,q03,0,"crimson clover, sweet clover, white clover, bird's-foot trefoil, common vetch, red campion, phacelia, fenugreek"
pic_s03_2017_ne_q03.png,s03_2017_ne,q03,1,"alsike clover, red clover, sainfoin, lucerne, black medick, white campion"
pic_s03_2017_ne_q04.png,s03_2017_ne,q04,0,"crimson clover, sweet clover, white clover, sainfoin, bird's-foot trefoil, black medick, common vetch, white campion, phacelia, fenugreek"
pic_s03_2017_ne_q04.png,s03_2017_ne,q04,1,"alsike clover, red clover, lucerne, red campion"
pic_s03_2017_ne_q05.png,s03_2017_ne,q05,0,"crimson clover, white clover, bird's-foot trefoil, black medick, common vetch, red campion, white campion, fenugreek"
pic_s03_2017_ne_q05.png,s03_2017_ne,q05,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, phacelia"
pic_s03_2017_ne_q06.png,s03_2017_ne,q06,0,"crimson clover, sweet clover, white clover, bird's-foot trefoil, common vetch, red campion, white campion, phacelia, fenugreek"
pic_s03_2017_ne_q06.png,s03_2017_ne,q06,1,"alsike clover, red clover, sainfoin, lucerne, black medick"
pic_s03_2017_ne_q07.png,s03_2017_ne,q07,0,"crimson clover, sweet clover, white clover, sainfoin, bird's-foot trefoil, black medick, common vetch, red campion, phacelia, fenugreek"
pic_s03_2017_ne_q07.png,s03_2017_ne,q07,1,"alsike clover, red clover, lucerne, white campion"
pic_s03_2017_ne_q08.png,s03_2017_ne,q08,0,"crimson clover, sweet clover, white clover, sainfoin, bird's-foot trefoil, red campion, white campion, phacelia, fenugreek"
pic_s03_2017_ne_q08.png,s03_2017_ne,q08,1,"alsike clover, red clover, lucerne, black medick, common vetch"
pic_s03_2017_ne_q09.png,s03_2017_ne,q09,0,"crimson clover, red clover, white clover, red campion, white campion, fenugreek"
pic_s03_2017_ne_q09.png,s03_2017_ne,q09,1,"alsike clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, phacelia"
pic_s03_2017_ne_q10.png,s03_2017_ne,q10,0,"crimson clover, white clover, red campion, white campion, fenugreek"
pic_s03_2017_ne_q10.png,s03_2017_ne,q10,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, phacelia"
pic_s04_2017_ne_q01.png,s04_2017_ne,q01,0,"crimson clover, white clover, lucerne, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, fenugreek, red campion, phacelia, borage"
pic_s04_2017_ne_q01.png,s04_2017_ne,q01,1,"alsike clover, red clover, sainfoin, black medick, sweet clover, white campion"
pic_s04_2017_ne_q02.png,s04_2017_ne,q02,0,"crimson clover, white clover, bird's-foot trefoil, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, fenugreek, red campion, phacelia, borage"
pic_s04_2017_ne_q02.png,s04_2017_ne,q02,1,"alsike clover, red clover, sainfoin, lucerne, black medick, common vetch, sweet clover, white campion"
pic_s04_2017_ne_q03.png,s04_2017_ne,q03,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, fenugreek, phacelia, borage"
pic_s04_2017_ne_q03.png,s04_2017_ne,q03,1,"alsike clover, red clover, sainfoin, lucerne, black medick, sweet clover, red campion, white campion"
pic_s04_2017_ne_q04.png,s04_2017_ne,q04,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, sweet clover, fenugreek, red campion, phacelia, borage"
pic_s04_2017_ne_q04.png,s04_2017_ne,q04,1,"alsike clover, red clover, sainfoin, lucerne, black medick, white campion"
pic_s04_2017_ne_q05.png,s04_2017_ne,q05,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, sweet clover, fenugreek, red campion, phacelia, borage, white campion"
pic_s04_2017_ne_q05.png,s04_2017_ne,q05,1,"alsike clover, red clover, sainfoin, lucerne, black medick"
pic_s04_2017_ne_q06.png,s04_2017_ne,q06,0,"alsike clover, crimson clover, white clover, bird's-foot trefoil, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, sweet clover, fenugreek, red campion, phacelia, borage, white campion"
pic_s04_2017_ne_q06.png,s04_2017_ne,q06,1,"red clover, sainfoin, lucerne, black medick, common vetch"
pic_s04_2017_ne_q07.png,s04_2017_ne,q07,0,"crimson clover, white clover, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, sweet clover, fenugreek, red campion, phacelia, borage"
pic_s04_2017_ne_q07.png,s04_2017_ne,q07,1,"alsike clover, red clover, sainfoin, lucerne, bird's-foot trefoil, black medick, white campion"
pic_s04_2017_ne_q08.png,s04_2017_ne,q08,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, fenugreek, phacelia, borage"
pic_s04_2017_ne_q08.png,s04_2017_ne,q08,1,"alsike clover, red clover, sainfoin, lucerne, black medick, sweet clover, red campion, white campion"
pic_s04_2017_ne_q09.png,s04_2017_ne,q09,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, sweet clover, fenugreek, red campion, phacelia, borage"
pic_s04_2017_ne_q09.png,s04_2017_ne,q09,1,"alsike clover, red clover, sainfoin, lucerne, black medick, white campion"
pic_s04_2017_ne_q10.png,s04_2017_ne,q10,0,"crimson clover, white clover, yarrow, oxeye daisy, musk mallow, wild carrot, field scabious, fenugreek, red campion, phacelia, borage"
pic_s04_2017_ne_q10.png,s04_2017_ne,q10,1,"alsike clover, red clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, sweet clover, white campion"
pic_s05_2017_ne_q01.png,s05_2017_ne,q01,0,"sweet clover, white clover, sainfoin, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q01.png,s05_2017_ne,q01,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil"
pic_s05_2017_ne_q02.png,s05_2017_ne,q02,0,"sweet clover, white clover, sainfoin, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q02.png,s05_2017_ne,q02,1,"alsike clover, crimson clover, red clover, lucerne, bird's-foot trefoil"
pic_s05_2017_ne_q03.png,s05_2017_ne,q03,0,"sweet clover, white clover, sainfoin, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q03.png,s05_2017_ne,q03,1,"alsike clover, crimson clover, red clover, lucerne, bird's-foot trefoil"
pic_s05_2017_ne_q04.png,s05_2017_ne,q04,0,"sweet clover, white clover, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q04.png,s05_2017_ne,q04,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil"
pic_s05_2017_ne_q05.png,s05_2017_ne,q05,0,"sweet clover, white clover, sainfoin, lucerne, black medick, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q05.png,s05_2017_ne,q05,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, common vetch"
pic_s05_2017_ne_q06.png,s05_2017_ne,q06,0,"sweet clover, white clover, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q06.png,s05_2017_ne,q06,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil"
pic_s05_2017_ne_q07.png,s05_2017_ne,q07,0,"sweet clover, white clover, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, white campion, phacelia"
pic_s05_2017_ne_q07.png,s05_2017_ne,q07,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil, red campion"
pic_s05_2017_ne_q08.png,s05_2017_ne,q08,0,"sweet clover, white clover, sainfoin, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q08.png,s05_2017_ne,q08,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil"
pic_s05_2017_ne_q09.png,s05_2017_ne,q09,0,"sweet clover, white clover, sainfoin, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q09.png,s05_2017_ne,q09,1,"alsike clover, crimson clover, red clover, bird's-foot trefoil, musk mallow"
pic_s05_2017_ne_q10.png,s05_2017_ne,q10,0,"sweet clover, white clover, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s05_2017_ne_q10.png,s05_2017_ne,q10,1,"alsike clover, crimson clover, red clover, sainfoin, bird's-foot trefoil"
pic_s06_2017_ne_q01.png,s06_2017_ne,q01,0,"alsike clover, crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s06_2017_ne_q01.png,s06_2017_ne,q01,1,"red clover, sweet clover, sainfoin, lucerne, black medick"
pic_s06_2017_ne_q02.png,s06_2017_ne,q02,0,"alsike clover, crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, musk mallow, wild carrot, red campion, phacelia"
pic_s06_2017_ne_q02.png,s06_2017_ne,q02,1,"red clover, sweet clover, sainfoin, lucerne, black medick, oxeye daisy, white campion"
pic_s06_2017_ne_q03.png,s06_2017_ne,q03,0,"crimson clover, white clover, common vetch, black knapweed, yarrow, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s06_2017_ne_q03.png,s06_2017_ne,q03,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, black medick, oxeye daisy"
pic_s06_2017_ne_q04.png,s06_2017_ne,q04,0,"crimson clover, white clover, common vetch, black knapweed, yarrow, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s06_2017_ne_q04.png,s06_2017_ne,q04,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, black medick, oxeye daisy"
pic_s06_2017_ne_q05.png,s06_2017_ne,q05,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion"
pic_s06_2017_ne_q05.png,s06_2017_ne,q05,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, black medick, phacelia"
pic_s06_2017_ne_q06.png,s06_2017_ne,q06,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion"
pic_s06_2017_ne_q06.png,s06_2017_ne,q06,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, black medick, phacelia"
pic_s06_2017_ne_q07.png,s06_2017_ne,q07,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion"
pic_s06_2017_ne_q07.png,s06_2017_ne,q07,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, black medick, phacelia"
pic_s06_2017_ne_q08.png,s06_2017_ne,q08,0,"crimson clover, white clover, bird's-foot trefoil, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, phacelia"
pic_s06_2017_ne_q08.png,s06_2017_ne,q08,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, black medick, white campion"
pic_s06_2017_ne_q09.png,s06_2017_ne,q09,0,"crimson clover, sweet clover, white clover, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s06_2017_ne_q09.png,s06_2017_ne,q09,1,"alsike clover, red clover, sainfoin, lucerne, bird's-foot trefoil, black medick"
pic_s06_2017_ne_q10.png,s06_2017_ne,q10,0,"crimson clover, white clover, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, phacelia"
pic_s06_2017_ne_q10.png,s06_2017_ne,q10,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, black medick, red campion, white campion"
pic_s07_2017_ne_q01.png,s07_2017_ne,q01,0,"alsike clover, crimson clover, sweet clover, white clover, sainfoin, bird's-foot trefoil, black medick, common vetch, black knapweed, yarrow, oxeye daisy, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q01.png,s07_2017_ne,q01,1,"red clover, lucerne, musk mallow"
pic_s07_2017_ne_q02.png,s07_2017_ne,q02,0,"alsike clover, crimson clover, red clover, sweet clover, white clover, sainfoin, bird's-foot trefoil, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q02.png,s07_2017_ne,q02,1,lucerne
pic_s07_2017_ne_q03.png,s07_2017_ne,q03,0,"alsike clover, crimson clover, sweet clover, white clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q03.png,s07_2017_ne,q03,1,red clover
pic_s07_2017_ne_q04.png,s07_2017_ne,q04,0,"crimson clover, sweet clover, white clover, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q04.png,s07_2017_ne,q04,1,"alsike clover, red clover, sainfoin, bird's-foot trefoil"
pic_s07_2017_ne_q05.png,s07_2017_ne,q05,0,"crimson clover, sweet clover, white clover, sainfoin, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q05.png,s07_2017_ne,q05,1,"alsike clover, red clover, lucerne, bird's-foot trefoil"
pic_s07_2017_ne_q06.png,s07_2017_ne,q06,0,"crimson clover, sweet clover, white clover, sainfoin, bird's-foot trefoil, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q06.png,s07_2017_ne,q06,1,"alsike clover, red clover, lucerne"
pic_s07_2017_ne_q07.png,s07_2017_ne,q07,0,"crimson clover, sweet clover, white clover, sainfoin, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q07.png,s07_2017_ne,q07,1,"alsike clover, red clover, lucerne, bird's-foot trefoil"
pic_s07_2017_ne_q08.png,s07_2017_ne,q08,0,"crimson clover, red clover, sweet clover, white clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q08.png,s07_2017_ne,q08,1,alsike clover
pic_s07_2017_ne_q09.png,s07_2017_ne,q09,0,"crimson clover, sweet clover, white clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q09.png,s07_2017_ne,q09,1,"alsike clover, red clover"
pic_s07_2017_ne_q10.png,s07_2017_ne,q10,0,"alsike clover, crimson clover, sweet clover, white clover, sainfoin, lucerne, black medick, common vetch, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s07_2017_ne_q10.png,s07_2017_ne,q10,1,"red clover, bird's-foot trefoil"
pic_s08_2017_ne_q01.png,s08_2017_ne,q01,0,"red clover, sweet clover, sainfoin, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q01.png,s08_2017_ne,q01,1,"alsike clover, crimson clover, white clover, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, oxeye daisy, wild carrot"
pic_s08_2017_ne_q02.png,s08_2017_ne,q02,0,"red clover, sweet clover, sainfoin, bird's-foot trefoil, black knapweed, yarrow, musk mallow, wild carrot, red campion, white campion, phacelia"
pic_s08_2017_ne_q02.png,s08_2017_ne,q02,1,"alsike clover, crimson clover, white clover, lucerne, black medick, common vetch, oxeye daisy"
pic_s08_2017_ne_q03.png,s08_2017_ne,q03,0,"red clover, sweet clover, sainfoin, bird's-foot trefoil, black knapweed, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q03.png,s08_2017_ne,q03,1,"alsike clover, crimson clover, white clover, lucerne, black medick, common vetch, oxeye daisy, wild carrot"
pic_s08_2017_ne_q04.png,s08_2017_ne,q04,0,"red clover, sweet clover, sainfoin, black knapweed, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q04.png,s08_2017_ne,q04,1,"alsike clover, crimson clover, white clover, lucerne, bird's-foot trefoil, black medick, common vetch, oxeye daisy, wild carrot"
pic_s08_2017_ne_q05.png,s08_2017_ne,q05,0,"red clover, sweet clover, sainfoin, bird's-foot trefoil, black medick, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q05.png,s08_2017_ne,q05,1,"alsike clover, crimson clover, white clover, lucerne, common vetch, black knapweed, oxeye daisy, wild carrot"
pic_s08_2017_ne_q06.png,s08_2017_ne,q06,0,"red clover, sweet clover, sainfoin, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q06.png,s08_2017_ne,q06,1,"alsike clover, crimson clover, white clover, lucerne, bird's-foot trefoil, black medick, common vetch, black knapweed, oxeye daisy, wild carrot"
pic_s08_2017_ne_q07.png,s08_2017_ne,q07,0,"red clover, sweet clover, sainfoin, bird's-foot trefoil, common vetch, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q07.png,s08_2017_ne,q07,1,"alsike clover, crimson clover, white clover, lucerne, black medick, black knapweed, oxeye daisy, wild carrot"
pic_s08_2017_ne_q08.png,s08_2017_ne,q08,0,"red clover, sweet clover, sainfoin, common vetch, yarrow, oxeye daisy, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q08.png,s08_2017_ne,q08,1,"alsike clover, crimson clover, white clover, lucerne, bird's-foot trefoil, black medick, black knapweed, wild carrot"
pic_s08_2017_ne_q09.png,s08_2017_ne,q09,0,"red clover, sweet clover, sainfoin, common vetch, black knapweed, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q09.png,s08_2017_ne,q09,1,"alsike clover, crimson clover, white clover, lucerne, bird's-foot trefoil, black medick, oxeye daisy, wild carrot"
pic_s08_2017_ne_q10.png,s08_2017_ne,q10,0,"red clover, sweet clover, sainfoin, bird's-foot trefoil, black knapweed, yarrow, musk mallow, red campion, white campion, phacelia"
pic_s08_2017_ne_q10.png,s08_2017_ne,q10,1,"alsike clover, crimson clover, white clover, lucerne, black medick, common vetch, oxeye daisy, wild carrot"
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,q01,0,"crimson clover, white clover, black medick, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, white campion"
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,q01,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, common vetch, red campion, phacelia"
pic_s12_2017_ne_v_q02.png,s12_2017_ne_v,q02,0,"crimson clover, bird's-foot trefoil, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, white campion"
pic_s12_2017_ne_v_q02.png,s12_2017_ne_v,q02,1,"alsike clover, red clover, sweet clover, white clover, sainfoin, lucerne, black medick, common vetch, red campion, phacelia"
pic_s12_2017_ne_v_q03.png,s12_2017_ne_v,q03,0,"crimson clover, white clover, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, white campion"
pic_s12_2017_ne_v_q03.png,s12_2017_ne_v,q03,1,"alsike clover, red clover, sweet clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, red campion, phacelia"
pic_s12_2017_ne_v_q04.png,s12_2017_ne_v,q04,0,"crimson clover, sweet clover, white clover, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, white campion"
pic_s12_2017_ne_v_q04.png,s12_2017_ne_v,q04,1,"alsike clover, red clover, sainfoin, lucerne, bird's-foot trefoil, black medick, common vetch, red campion, phacelia"
pic_s12_2017_ne_v_q05.png,s12_2017_ne_v,q05,0,"crimson clover, sweet clover, black medick, black knapweed, yarrow, oxeye daisy, musk mallow, wild carrot, white campion"
